Name of Power Station,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15
"Kaligandaki ""A""","707,746.0","759,002.0","753,368.0","760,241.0","775,172.0","860,754.0","847,258.0","864,103.0","929,983.0"
Middle Marsyangdi,-,-,"169,000.0","390,038.1","377,151.3","425,344.2","428,082.2","434,171.7","457,318.1"
Marsyangdi,"401,568.3","412,799.8","404,805.2","405,004.9","423,161.3","445,899.4","450,136.0","461,688.1","472,981.5"
Kulekhani - I,"138,048.0","153,016.0","75,144.0","86,996.0","98,886.0","143,284.0","92,829.0","94,084.0","90,081.0"
Kulekhani - II,"54,992.2","51,445.3","36,934.6","43,518.6","50,468.1","71,448.4","39,642.8","46,569.5","44,740.6"
Trishuli,"129,025.9","133,391.1","114,938.8","135,302.5","128,300.0","134,772.8","124,776.2","111,846.8","124,763.4"
Gandak,"30,601.8","20,479.2","20,525.2","15,006.3","11,331.4","13,077.7","19,207.7","8,802.3","1,793.7"
Modi Khola,"67,348.9","53,901.9","62,520.7","51,012.9","59,961.4","34,608.4","30,718.6","41,637.8","58,955.2"
Devighat,"92,549.3","91,485.7","81,437.8","96,041.4","74,132.6","105,089.2","100,563.6","95,427.0","97,742.7"
Sunkoshi,"56,604.0","53,084.3","60,593.6","57,385.4","60,355.4","66,383.1","63,577.0","64,667.4","23,014.1"
Ilam (Puwakhola),"32,473.5","34,640.9","31,683.0","30,058.1","31,547.8","28,330.0","30,435.7","29,605.0","32,412.3"
Chatara,"5,219.8","3,839.3","2,638.3","2,424.5","4,097.8","3,032.8","1,643.8","2,355.3",53.3
Panauti,"2,898.6","3,077.9","1,879.6","2,879.3","2,729.2","1,280.2","1,510.8","2,206.5","1,632.4"
Seti,"10,704.8","10,822.8","10,870.1","11,197.7","11,616.2","10,411.3","10,512.5","10,892.5","10,264.8"
Phewa,"2,405.3","1,216.1","2,179.8","1,425.2","1,913.4","1,872.2","2,082.0","2,050.1","2,310.7"
Sundarijal,"4,355.5","4,345.9","4,062.3","4,349.7","4,121.6","4,345.6","4,198.3","3,481.3","4,530.3"
Pharping,4.3,48.6,21.0,5.0,-,35.1,15.1,5.9,4.5
Multifuel,"10,292.9","7,866.4","5,322.4","9,702.7","2,349.9",623.5,"9,954.3","4,981.4",-
Diesel,"3,021.2","1,308.7","3,734.4","3,416.9","1,333.0",940.5,"8,868.6","4,768.9","1,254.5"
Total,"1,749,859.9","1,795,771.9","1,841,658.6","2,106,006.1","2,118,628.3","2,351,532.3","2,266,012.1","2,283,344.6","2,353,836.0"
